timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description,wdominant,long_dsc,lat_dsc,dsc,long_tsc,lat_tsc,tsc,risk_score
19,30762,Right,0.57,-6.58,0.0,-4.97,0.67,-2.54,0.15,-1.42,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,4,4.0,0,5,5.0,4
19,30763,Rear-right,-16.78,-6.14,-12.27,-4.53,-6.15,0.0,0.07,-1.65,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
19,30764,Rear-right,-25.75,-9.96,-21.25,-8.35,-4.29,0.82,0.84,-3.19,inf,10.22,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
19,30768,Rear-left,-25.91,8.64,-21.41,7.03,-4.77,-0.76,-0.51,-2.82,inf,9.25,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
20,30755,Front-right,16.42,-15.11,11.91,-13.5,1.1,-4.21,0.31,-1.3,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
20,30756,Rear-left,-18.41,4.27,-13.9,2.66,-6.49,-0.0,0.09,-1.74,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
20,30762,Right,0.63,-6.85,0.0,-5.24,0.29,-2.68,0.14,-1.59,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
20,30763,Rear-right,-17.4,-6.08,-12.89,-4.47,-6.49,0.0,0.09,-1.74,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
20,30764,Rear-right,-26.21,-9.79,-21.7,-8.18,-4.77,0.75,1.0,-3.59,inf,10.91,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
20,30768,Rear-left,-26.35,8.67,-21.84,7.06,-5.2,-0.72,-0.34,-2.59,inf,9.85,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
21,30755,Front-right,16.5,-15.58,11.99,-13.97,0.9,-4.23,-0.06,-1.42,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
21,30756,Rear-left,-19.02,4.33,-14.52,2.72,-6.69,-0.0,0.06,-1.18,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
21,30762,Right,0.64,-7.13,0.0,-5.52,0.03,-2.78,0.24,-0.67,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
21,30763,Rear-right,-18.05,-6.03,-13.54,-4.42,-6.69,0.0,0.06,-1.18,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
21,30764,Rear-right,-26.71,-9.64,-22.2,-8.03,-5.09,0.69,0.9,-2.88,inf,11.57,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
21,30768,Rear-left,-26.83,8.68,-22.32,7.07,-5.51,-0.67,-0.43,-2.18,inf,10.63,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
22,30755,Front-right,16.58,-16.03,12.07,-14.42,0.64,-4.23,0.03,-1.51,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
22,30756,Rear-left,-19.68,4.35,-15.17,2.74,-6.95,-0.0,0.08,-1.41,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
22,30762,Right,0.65,-7.42,0.0,-5.81,-0.28,-2.85,-0.05,-1.77,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
22,30763,Rear-right,-18.72,-6.01,-14.21,-4.4,-6.95,0.0,0.08,-1.41,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
22,30764,Rear-right,-27.23,-9.54,-22.72,-7.93,-5.47,0.64,0.65,-2.57,inf,12.34,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
22,30768,Rear-left,-27.37,8.65,-22.86,7.04,-5.87,-0.61,-0.57,-2.71,inf,11.56,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
23,30755,Front-right,16.59,-16.52,12.08,-14.91,0.32,-4.25,-0.03,-1.81,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
23,30756,Rear-left,-20.34,4.43,-15.83,2.82,-7.25,-0.0,0.09,-1.57,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
23,30762,Right,0.59,-7.72,0.0,-6.11,-0.62,-3.01,0.27,-1.1,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
23,30763,Rear-right,-19.42,-5.93,-14.92,-4.32,-7.25,0.0,0.09,-1.57,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
23,30764,Rear-right,-27.81,-9.37,-23.3,-7.76,-5.88,0.59,0.65,-2.7,inf,13.23,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
23,30768,Rear-left,-27.91,8.71,-23.41,7.1,-6.27,-0.56,-0.34,-2.43,inf,12.64,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
24,30755,Front-right,16.58,-17.0,12.07,-15.39,0.16,-4.28,0.56,0.11,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
24,30756,Rear-left,-21.04,4.5,-16.53,2.89,-7.43,-0.0,0.06,-0.93,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
24,30762,Right,0.51,-8.03,0.0,-6.42,-0.89,-3.13,0.02,-1.02,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
24,30763,Rear-right,-20.15,-5.86,-15.65,-4.25,-7.43,0.0,0.06,-0.93,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
24,30764,Rear-right,-28.42,-9.22,-23.92,-7.61,-6.16,0.54,0.32,-1.47,inf,14.2,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.,0.5,5,5,5.0,5,5,5.0,5
24,30768,Rear-left,-28.5,8.75,-23.99,7.14,-6.51,-0.53,-0.16,-1.36,inf,13.56,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.,0.5,5,5,5.0,5,5,5.0,5
25,30755,Front-right,16.61,-17.43,12.1,-15.82,-0.07,-4.25,-0.32,-1.82,183.9,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
25,30756,Rear-left,-21.77,4.5,-17.26,2.89,-7.62,-0.0,0.06,-1.04,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
25,30762,Right,0.43,-8.35,0.0,-6.74,-1.1,-3.22,0.03,-1.12,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
25,30763,Rear-right,-20.89,-5.86,-16.38,-4.25,-7.62,0.0,0.06,-1.04,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
26,30755,Front-right,16.59,-17.87,12.08,-16.26,-0.26,-4.27,0.28,-0.67,46.89,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
26,30756,Rear-left,-22.52,4.52,-18.01,2.91,-7.84,-0.0,0.07,-1.12,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
26,30762,Right,0.32,-8.68,0.0,-7.07,-1.37,-3.29,-0.1,-1.51,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
26,30763,Rear-right,-21.64,-5.84,-17.14,-4.23,-7.84,0.0,0.07,-1.12,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
27,30755,Front-right,16.61,-18.26,12.1,-16.65,-0.4,-4.23,-0.05,-0.73,30.18,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
27,30756,Rear-left,-23.3,4.48,-18.79,2.87,-7.95,-0.0,0.03,-0.56,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
27,30762,Right,0.2,-9.02,0.0,-7.41,-1.51,-3.37,-0.08,-0.82,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
27,30763,Rear-right,-22.41,-5.88,-17.9,-4.27,-7.95,0.0,0.03,-0.56,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
28,30755,Front-right,16.71,-18.56,12.2,-16.95,-0.46,-4.19,0.27,-0.06,26.74,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
28,30756,Rear-left,-24.12,4.31,-19.61,2.7,-8.06,-0.0,0.03,-0.56,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
28,30762,Right,0.12,-9.35,0.0,-7.74,-1.63,-3.38,0.21,-0.16,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
28,30763,Rear-right,-23.15,-6.04,-18.65,-4.43,-8.06,0.0,0.03,-0.56,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
29,30755,Front-right,16.94,-18.72,12.44,-17.11,-0.5,-4.08,0.17,-0.26,24.82,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
29,30756,Rear-left,-24.98,3.96,-20.47,2.35,-8.18,-0.0,0.02,-0.56,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
29,30762,Right,0.1,-9.69,0.0,-8.08,-1.71,-3.33,-0.03,-0.66,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
29,30763,Rear-right,-23.86,-6.38,-19.36,-4.77,-8.18,0.0,0.02,-0.56,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,4,4.5,5,5,5.0,4
30,30755,Front-right,17.25,-18.8,12.74,-17.19,-0.47,-3.94,-0.01,-0.34,27.31,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
30,30756,Rear-left,-25.86,3.5,-21.35,1.89,-8.24,-0.0,0.01,-0.32,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
30,30762,Right,0.12,-10.01,0.0,-8.4,-1.75,-3.24,0.08,-0.15,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
30,30763,Rear-right,-24.55,-6.82,-20.05,-5.21,-8.24,0.0,0.01,-0.32,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,5,5.0,5,5,5.0,5
31,30755,Front-right,17.59,-18.82,13.09,-17.21,-0.5,-3.76,0.08,-0.18,26.36,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
31,30756,Rear-left,-26.75,2.96,-22.24,1.35,-8.3,-0.0,-0.0,-0.35,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,3,4.0,5,5,5.0,4
31,30762,Right,0.16,-10.32,0.0,-8.71,-1.73,-3.15,0.4,0.49,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
31,30763,Rear-right,-25.23,-7.33,-20.72,-5.72,-8.3,0.0,-0.0,-0.35,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,5,5.0,5,5,5.0,5
32,30755,Front-right,17.92,-18.83,13.41,-17.22,-0.49,-3.61,0.2,0.05,27.44,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
32,30756,Rear-left,-27.63,2.44,-23.12,0.83,-8.38,-0.0,-0.01,-0.38,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,2,3.5,5,5,5.0,4
32,30762,Right,0.19,-10.61,0.0,-9.0,-1.76,-3.04,0.03,-0.31,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
32,30763,Rear-right,-25.91,-7.81,-21.4,-6.2,-8.38,0.0,-0.01,-0.38,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,5,5.0,5,5,5.0,5
33,30755,Front-right,18.19,-18.88,13.68,-17.27,-0.46,-3.49,0.07,-0.06,30.05,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
33,30756,Rear-left,-28.5,1.98,-23.99,0.37,-8.42,-0.0,-0.01,-0.23,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,1,3.0,5,5,5.0,4
33,30762,Right,0.2,-10.9,0.0,-9.29,-1.76,-2.95,0.14,0.07,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
33,30763,Rear-right,-26.61,-8.24,-22.1,-6.63,-8.42,0.0,-0.01,-0.23,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,5,5.0,5,5,5.0,5
34,30755,Front-right,18.39,-18.98,13.89,-17.37,-0.49,-3.37,-0.27,-0.79,28.38,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
34,30756,Rear-left,-29.36,1.61,-24.85,0.0,-8.47,-0.0,-0.01,-0.26,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,0,2.5,5,5,5.0,3
34,30762,Right,0.17,-11.19,0.0,-9.58,-1.78,-2.87,0.23,0.24,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
34,30763,Rear-right,-27.34,-8.59,-22.83,-6.98,-8.47,0.0,-0.01,-0.26,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,5,5.0,5,5,5.0,5
35,30755,Front-right,18.55,-19.12,14.04,-17.51,-0.47,-3.3,-0.04,-0.31,29.81,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
35,30762,Right,0.11,-11.47,0.0,-9.86,-1.83,-2.8,0.01,-0.22,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
35,30763,Rear-right,-28.09,-8.87,-23.59,-7.26,-8.52,0.0,-0.02,-0.27,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.,0.5,5,5,5.0,5,5,5.0,5
36,30755,Front-right,18.61,-19.34,14.1,-17.73,-0.51,-3.25,0.02,-0.12,27.5,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
36,30762,Right,-0.0,-11.74,0.0,-10.13,-1.83,-2.78,0.13,0.1,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
37,30755,Front-right,18.66,-19.57,14.15,-17.96,-0.49,-3.22,0.13,0.09,28.66,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
37,30762,Right,-0.13,-12.02,0.0,-10.41,-1.89,-2.74,-0.05,-0.28,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
38,30755,Front-right,18.67,-19.84,14.16,-18.23,-0.54,-3.2,-0.06,-0.32,26.28,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
38,30762,Right,-0.28,-12.29,0.0,-10.68,-1.9,-2.73,0.09,-0.02,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
39,30755,Front-right,18.65,-20.13,14.14,-18.52,-0.56,-3.18,0.21,0.3,25.11,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
39,30762,Right,-0.45,-12.56,0.0,-10.95,-1.93,-2.71,-0.22,-0.58,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
40,30755,Front-right,18.59,-20.45,14.08,-18.84,-0.63,-3.17,-0.3,-0.78,22.42,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
40,30762,Right,-0.64,-12.83,0.0,-11.22,-1.95,-2.72,0.05,-0.06,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
41,30755,Front-right,18.5,-20.79,13.99,-19.18,-0.66,-3.19,-0.2,-0.6,21.36,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
41,30762,Right,-0.85,-13.11,0.0,-11.5,-2.0,-2.73,-0.19,-0.56,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
42,30755,Front-right,18.42,-21.13,13.91,-19.52,-0.67,-3.2,0.3,0.51,20.7,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
42,30762,Right,-1.06,-13.38,0.0,-11.77,-2.02,-2.74,0.1,0.08,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
43,30755,Front-right,18.34,-21.46,13.83,-19.85,-0.72,-3.2,0.17,0.22,19.32,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
43,30762,Right,-1.26,-13.65,0.0,-12.04,-2.05,-2.75,-0.11,-0.37,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
44,30755,Front-right,18.28,-21.77,13.77,-20.16,-0.77,-3.19,-0.38,-0.94,17.83,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
44,30762,Right,-1.46,-13.93,0.0,-12.32,-2.11,-2.73,-0.07,-0.29,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
45,30755,Front-right,18.21,-22.08,13.71,-20.47,-0.78,-3.19,-0.25,-0.62,17.64,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
45,30762,Right,-1.66,-14.2,0.0,-12.59,-2.12,-2.72,0.01,-0.08,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
46,30755,Front-right,18.14,-22.4,13.64,-20.79,-0.78,-3.2,0.23,0.35,17.4,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
46,30762,Right,-1.87,-14.47,0.0,-12.86,-2.12,-2.72,0.34,0.56,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
47,30755,Front-right,18.07,-22.71,13.56,-21.1,-0.81,-3.2,0.1,0.06,16.77,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
47,30762,Right,-2.08,-14.74,0.0,-13.13,-2.17,-2.7,-0.05,-0.25,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
48,30755,Front-right,17.99,-23.03,13.48,-21.42,-0.84,-3.19,0.27,0.46,16.03,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
48,30762,Right,-2.3,-15.01,0.0,-13.4,-2.18,-2.7,0.08,0.07,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
49,30755,Front-right,17.9,-23.35,13.39,-21.74,-0.9,-3.18,-0.36,-0.85,14.91,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
49,30762,Right,-2.51,-15.28,0.0,-13.67,-2.21,-2.69,-0.2,-0.52,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
50,30755,Front-right,17.81,-23.68,13.3,-22.07,-0.93,-3.18,-0.36,-0.86,14.33,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
50,30762,Right,-2.74,-15.55,0.0,-13.94,-2.25,-2.68,-0.02,-0.18,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
51,30755,Front-right,17.71,-24.0,13.21,-22.39,-0.91,-3.2,0.12,0.16,14.49,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.,0.5,5,5,5.0,5,5,5.0,5
51,30762,Right,-2.97,-15.82,0.0,-14.21,-2.26,-2.68,-0.15,-0.4,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
52,30762,Right,-3.19,-16.09,0.0,-14.48,-2.28,-2.68,-0.28,-0.67,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
53,30762,Right,-3.42,-16.35,0.0,-14.74,-2.3,-2.68,-0.27,-0.68,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
54,30762,Right,-3.64,-16.62,0.0,-15.01,-2.3,-2.68,0.06,0.04,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
55,30762,Right,-3.87,-16.89,0.0,-15.28,-2.33,-2.68,0.02,-0.05,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
56,30762,Right,-4.1,-17.16,0.0,-15.55,-2.37,-2.67,-0.42,-0.98,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
57,30762,Right,-4.34,-17.43,0.0,-15.82,-2.36,-2.68,0.01,-0.04,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the right.,0.0,0,5,5.0,0,5,5.0,5
58,30762,Rear-right,-4.57,-17.69,-0.06,-16.08,-2.39,-2.67,0.02,-0.04,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the right.,0.5,0,5,2.5,5,5,5.0,3
59,30762,Rear-right,-4.81,-17.96,-0.3,-16.35,-2.41,-2.67,-0.01,-0.12,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the right.,0.5,1,5,3.0,5,5,5.0,4
60,30762,Rear-right,-5.05,-18.23,-0.54,-16.62,-2.4,-2.68,-0.07,-0.2,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the right.,0.5,1,5,3.0,5,5,5.0,4
61,30762,Rear-right,-5.29,-18.49,-0.78,-16.88,-2.45,-2.67,-0.31,-0.72,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the right.,0.5,1,5,3.0,5,5,5.0,4
62,30762,Rear-right,-5.53,-18.76,-1.03,-17.15,-2.44,-2.68,0.14,0.21,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the right.,0.5,2,5,3.5,5,5,5.0,4
63,30762,Rear-right,-5.78,-19.03,-1.27,-17.42,-2.45,-2.68,0.06,0.08,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the right.,0.5,2,5,3.5,5,5,5.0,4
64,30762,Rear-right,-6.02,-19.3,-1.52,-17.69,-2.46,-2.68,0.12,0.17,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the right.,0.5,3,5,4.0,5,5,5.0,4
65,30762,Rear-right,-6.27,-19.56,-1.76,-17.95,-2.49,-2.67,0.07,0.07,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the right.,0.5,3,5,4.0,5,5,5.0,4
66,30762,Rear-right,-6.51,-19.83,-2.0,-18.22,-2.47,-2.68,0.42,0.82,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the right.,0.5,3,5,4.0,5,5,5.0,4
67,30762,Rear-right,-6.75,-20.1,-2.25,-18.49,-2.5,-2.67,-0.05,-0.16,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the right.,0.5,3,5,4.0,5,5,5.0,4
68,30762,Rear-right,-6.99,-20.37,-2.48,-18.76,-2.51,-2.67,0.07,0.07,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the right.,0.5,3,5,4.0,5,5,5.0,4
